# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-11-01T00:39:00.0/2025-11-01T00:40:00.0;0.8903;0.2368;0.0269;0.2099;0.6958;0.2368;0.0269;0.2099;0.6958;0.5000
2025-11-01T00:40:00.0/2025-11-01T00:41:00.0;0.9866;0.2705;0.0350;0.2355;0.8185;0.2705;0.0350;0.2355;0.8185;0.5000
2025-11-01T00:41:00.0/2025-11-01T00:42:00.0;1.0829;0.3057;0.0444;0.2613;0.9446;0.3057;0.0444;0.2613;0.9446;0.5000
2025-11-01T00:42:00.0/2025-11-01T00:43:00.0;1.1791;0.3422;0.0549;0.2872;1.0735;0.3422;0.0549;0.2872;1.0735;0.5000
2025-11-01T00:43:00.0/2025-11-01T00:44:00.0;1.2753;0.3800;0.0667;0.3133;1.2050;0.3800;0.0667;0.3133;1.2050;0.5000
2025-11-01T00:44:00.0/2025-11-01T00:45:00.0;1.3715;0.4191;0.0797;0.3394;1.3385;0.4191;0.0797;0.3394;1.3385;0.5000
2025-11-01T00:45:00.0/2025-11-01T00:46:00.0;1.4676;0.4595;0.0939;0.3656;1.4738;0.4595;0.0939;0.3656;1.4738;0.5000
2025-11-01T00:46:00.0/2025-11-01T00:47:00.0;1.5637;0.5011;0.1093;0.3918;1.6106;0.5011;0.1093;0.3918;1.6106;0.5000
2025-11-01T00:47:00.0/2025-11-01T00:48:00.0;1.6597;0.5439;0.1259;0.4179;1.7485;0.5439;0.1259;0.4179;1.7485;0.5000
2025-11-01T00:48:00.0/2025-11-01T00:49:00.0;1.7557;0.5878;0.1438;0.4440;1.8874;0.5878;0.1438;0.4440;1.8874;0.5000
2025-11-01T00:49:00.0/2025-11-01T00:50:00.0;1.8517;0.6328;0.1629;0.4700;2.0270;0.6328;0.1629;0.4700;2.0270;0.5000
2025-11-01T00:50:00.0/2025-11-01T00:51:00.0;1.9476;0.6789;0.1831;0.4958;2.1671;0.6789;0.1831;0.4958;2.1671;0.5000
2025-11-01T00:51:00.0/2025-11-01T00:52:00.0;2.0434;0.7261;0.2046;0.5215;2.3074;0.7261;0.2046;0.5215;2.3074;0.5000
2025-11-01T00:52:00.0/2025-11-01T00:53:00.0;2.1392;0.7743;0.2272;0.5470;2.4478;0.7743;0.2272;0.5470;2.4478;0.5000
2025-11-01T00:53:00.0/2025-11-01T00:54:00.0;2.2350;0.8234;0.2510;0.5724;2.5882;0.8234;0.2510;0.5724;2.5882;0.5000
2025-11-01T00:54:00.0/2025-11-01T00:55:00.0;2.3306;0.8735;0.2759;0.5976;2.7283;0.8735;0.2759;0.5976;2.7283;0.5000
2025-11-01T00:55:00.0/2025-11-01T00:56:00.0;2.4263;0.9245;0.3020;0.6225;2.8681;0.9245;0.3020;0.6225;2.8681;0.5000
2025-11-01T00:56:00.0/2025-11-01T00:57:00.0;2.5218;0.9763;0.3291;0.6473;3.0074;0.9763;0.3291;0.6473;3.0074;0.5000
2025-11-01T00:57:00.0/2025-11-01T00:58:00.0;2.6173;1.0291;0.3573;0.6718;3.1460;1.0291;0.3573;0.6718;3.1460;0.5000
2025-11-01T00:58:00.0/2025-11-01T00:59:00.0;2.7128;1.0826;0.3866;0.6960;3.2840;1.0826;0.3866;0.6960;3.2840;1.0000
2025-11-01T00:59:00.0/2025-11-01T01:00:00.0;2.8081;1.1369;0.4169;0.7201;3.4211;1.1369;0.4169;0.7201;3.4211;1.0000
2025-11-01T01:00:00.0/2025-11-01T01:01:00.0;2.9035;1.1920;0.4482;0.7438;3.5574;1.1920;0.4482;0.7438;3.5574;1.0000
2025-11-01T01:01:00.0/2025-11-01T01:02:00.0;2.9987;1.2479;0.4805;0.7674;3.6926;1.2479;0.4805;0.7674;3.6926;1.0000
2025-11-01T01:02:00.0/2025-11-01T01:03:00.0;3.0939;1.3044;0.5137;0.7906;3.8269;1.3044;0.5137;0.7906;3.8269;1.0000
2025-11-01T01:03:00.0/2025-11-01T01:04:00.0;3.1889;1.3616;0.5480;0.8137;3.9600;1.3616;0.5480;0.8137;3.9600;1.0000
2025-11-01T01:04:00.0/2025-11-01T01:05:00.0;3.2840;1.4195;0.5831;0.8364;4.0919;1.4195;0.5831;0.8364;4.0919;1.0000
2025-11-01T01:05:00.0/2025-11-01T01:06:00.0;3.3789;1.4780;0.6191;0.8589;4.2226;1.4780;0.6191;0.8589;4.2226;1.0000
2025-11-01T01:06:00.0/2025-11-01T01:07:00.0;3.4738;1.5371;0.6560;0.8811;4.3520;1.5371;0.6560;0.8811;4.3520;1.0000
2025-11-01T01:07:00.0/2025-11-01T01:08:00.0;3.5686;1.5968;0.6937;0.9031;4.4802;1.5968;0.6937;0.9031;4.4802;1.0000
2025-11-01T01:08:00.0/2025-11-01T01:09:00.0;3.6633;1.6571;0.7323;0.9248;4.6070;1.6571;0.7323;0.9248;4.6070;1.0000
2025-11-01T01:09:00.0/2025-11-01T01:10:00.0;3.7579;1.7179;0.7717;0.9462;4.7324;1.7179;0.7717;0.9462;4.7324;1.0000
2025-11-01T01:10:00.0/2025-11-01T01:11:00.0;3.8524;1.7792;0.8118;0.9674;4.8564;1.7792;0.8118;0.9674;4.8564;1.0000
2025-11-01T01:11:00.0/2025-11-01T01:12:00.0;3.9468;1.8410;0.8527;0.9883;4.9793;1.8410;0.8527;0.9883;4.9793;1.0000
2025-11-01T01:12:00.0/2025-11-01T01:13:00.0;4.0412;1.9034;0.8945;1.0088;5.1014;1.9034;0.8945;1.0088;5.1014;1.0000
2025-11-01T01:13:00.0/2025-11-01T01:14:00.0;4.1355;1.9662;0.9371;1.0291;5.2221;1.9662;0.9371;1.0291;5.2221;1.0000
2025-11-01T01:14:00.0/2025-11-01T01:15:00.0;4.2296;2.0295;0.9803;1.0492;5.3413;2.0295;0.9803;1.0492;5.3413;1.0000
2025-11-01T01:15:00.0/2025-11-01T01:16:00.0;4.3237;2.0931;1.0242;1.0690;5.4590;2.0931;1.0242;1.0690;5.4590;1.0000
2025-11-01T01:16:00.0/2025-11-01T01:17:00.0;4.4177;2.1572;1.0687;1.0885;5.5753;2.1572;1.0687;1.0885;5.5753;1.0000
