# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2025-11-02T23:16:00.0/2025-11-02T23:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:17:00.0/2025-11-02T23:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:18:00.0/2025-11-02T23:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:19:00.0/2025-11-02T23:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:20:00.0/2025-11-02T23:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:21:00.0/2025-11-02T23:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:22:00.0/2025-11-02T23:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:23:00.0/2025-11-02T23:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:24:00.0/2025-11-02T23:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:25:00.0/2025-11-02T23:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:26:00.0/2025-11-02T23:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:27:00.0/2025-11-02T23:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:28:00.0/2025-11-02T23:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:29:00.0/2025-11-02T23:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:30:00.0/2025-11-02T23:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:31:00.0/2025-11-02T23:32:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:32:00.0/2025-11-02T23:33:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:33:00.0/2025-11-02T23:34:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:34:00.0/2025-11-02T23:35:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:35:00.0/2025-11-02T23:36:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:36:00.0/2025-11-02T23:37:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:37:00.0/2025-11-02T23:38:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:38:00.0/2025-11-02T23:39:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:39:00.0/2025-11-02T23:40:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:40:00.0/2025-11-02T23:41:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:41:00.0/2025-11-02T23:42:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:42:00.0/2025-11-02T23:43:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:43:00.0/2025-11-02T23:44:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:44:00.0/2025-11-02T23:45:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:45:00.0/2025-11-02T23:46:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:46:00.0/2025-11-02T23:47:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:47:00.0/2025-11-02T23:48:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:48:00.0/2025-11-02T23:49:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:49:00.0/2025-11-02T23:50:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:50:00.0/2025-11-02T23:51:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:51:00.0/2025-11-02T23:52:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:52:00.0/2025-11-02T23:53:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:53:00.0/2025-11-02T23:54:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:54:00.0/2025-11-02T23:55:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:55:00.0/2025-11-02T23:56:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:56:00.0/2025-11-02T23:57:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:57:00.0/2025-11-02T23:58:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:58:00.0/2025-11-02T23:59:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-02T23:59:00.0/2025-11-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:00:00.0/2025-11-03T00:01:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:01:00.0/2025-11-03T00:02:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:02:00.0/2025-11-03T00:03:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:03:00.0/2025-11-03T00:04:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:04:00.0/2025-11-03T00:05:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:05:00.0/2025-11-03T00:06:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:06:00.0/2025-11-03T00:07:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:07:00.0/2025-11-03T00:08:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:08:00.0/2025-11-03T00:09:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:09:00.0/2025-11-03T00:10:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:10:00.0/2025-11-03T00:11:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:11:00.0/2025-11-03T00:12:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:12:00.0/2025-11-03T00:13:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:13:00.0/2025-11-03T00:14:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:14:00.0/2025-11-03T00:15:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:15:00.0/2025-11-03T00:16:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:16:00.0/2025-11-03T00:17:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:17:00.0/2025-11-03T00:18:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:18:00.0/2025-11-03T00:19:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:19:00.0/2025-11-03T00:20:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:20:00.0/2025-11-03T00:21:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:21:00.0/2025-11-03T00:22:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:22:00.0/2025-11-03T00:23:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:23:00.0/2025-11-03T00:24:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:24:00.0/2025-11-03T00:25:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:25:00.0/2025-11-03T00:26:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:26:00.0/2025-11-03T00:27:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:27:00.0/2025-11-03T00:28:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:28:00.0/2025-11-03T00:29:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:29:00.0/2025-11-03T00:30:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:30:00.0/2025-11-03T00:31:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2025-11-03T00:31:00.0/2025-11-03T00:32:00.0;0.0884;0.0163;0.0002;0.0161;0.0000;0.0022;0.0000;0.0022;0.0000;0.5000
2025-11-03T00:32:00.0/2025-11-03T00:33:00.0;0.1847;0.0371;0.0003;0.0368;0.0000;0.0049;0.0000;0.0049;0.0000;0.5000
2025-11-03T00:33:00.0/2025-11-03T00:34:00.0;0.2810;0.0596;0.0011;0.0584;0.0000;0.0079;0.0000;0.0079;0.0000;0.5000
2025-11-03T00:34:00.0/2025-11-03T00:35:00.0;0.3773;0.0837;0.0026;0.0811;0.0000;0.0111;0.0000;0.0111;0.0000;0.5000
2025-11-03T00:35:00.0/2025-11-03T00:36:00.0;0.4736;0.1092;0.0048;0.1045;0.2318;0.0145;0.0000;0.0145;0.0000;0.5000
2025-11-03T00:36:00.0/2025-11-03T00:37:00.0;0.5698;0.1363;0.0077;0.1286;0.3118;0.0180;0.0000;0.0180;0.0000;0.5000
2025-11-03T00:37:00.0/2025-11-03T00:38:00.0;0.6660;0.1649;0.0115;0.1534;0.3996;0.0218;0.0000;0.0218;0.0000;0.5000
2025-11-03T00:38:00.0/2025-11-03T00:39:00.0;0.7622;0.1950;0.0163;0.1787;0.4923;0.0258;0.0000;0.0258;0.0000;0.5000
2025-11-03T00:39:00.0/2025-11-03T00:40:00.0;0.8584;0.2264;0.0219;0.2045;0.5896;0.0300;0.0000;0.0300;0.0000;0.5000
2025-11-03T00:40:00.0/2025-11-03T00:41:00.0;0.9545;0.2592;0.0286;0.2307;0.6909;0.0343;0.0000;0.0343;0.0000;0.5000
2025-11-03T00:41:00.0/2025-11-03T00:42:00.0;1.0506;0.2934;0.0362;0.2572;0.7958;0.0388;0.0000;0.0388;0.0000;0.5000
2025-11-03T00:42:00.0/2025-11-03T00:43:00.0;1.1466;0.3289;0.0449;0.2840;0.9039;0.0435;0.0000;0.0435;0.0000;0.5000
2025-11-03T00:43:00.0/2025-11-03T00:44:00.0;1.2426;0.3657;0.0547;0.3111;1.0148;0.0484;0.0000;0.0484;0.0000;0.5000
2025-11-03T00:44:00.0/2025-11-03T00:45:00.0;1.3386;0.4038;0.0655;0.3383;1.1283;0.0534;0.0000;0.0534;0.0000;0.5000
2025-11-03T00:45:00.0/2025-11-03T00:46:00.0;1.4346;0.4430;0.0774;0.3657;1.2439;0.0586;0.0000;0.0586;0.0000;0.5000
2025-11-03T00:46:00.0/2025-11-03T00:47:00.0;1.5305;0.4835;0.0903;0.3931;1.3615;0.0640;0.0000;0.0640;0.0000;0.5000
2025-11-03T00:47:00.0/2025-11-03T00:48:00.0;1.6263;0.5250;0.1044;0.4207;1.4808;0.0695;0.0000;0.0695;0.0000;0.5000
2025-11-03T00:48:00.0/2025-11-03T00:49:00.0;1.7221;0.5678;0.1196;0.4482;1.6015;0.0752;0.0000;0.0752;0.0000;0.5000
2025-11-03T00:49:00.0/2025-11-03T00:50:00.0;1.8179;0.6116;0.1358;0.4758;1.7234;0.0810;0.0000;0.0810;0.0000;0.5000
2025-11-03T00:50:00.0/2025-11-03T00:51:00.0;1.9136;0.6564;0.1531;0.5033;1.8462;0.0869;0.0000;0.0869;0.0000;0.5000
2025-11-03T00:51:00.0/2025-11-03T00:52:00.0;2.0093;0.7023;0.1716;0.5307;1.9699;0.0930;0.0000;0.0930;0.0000;0.5000
2025-11-03T00:52:00.0/2025-11-03T00:53:00.0;2.1049;0.7492;0.1911;0.5581;2.0941;0.0992;0.0000;0.0992;0.0000;0.5000
2025-11-03T00:53:00.0/2025-11-03T00:54:00.0;2.2004;0.7971;0.2116;0.5854;2.2188;0.1055;0.0000;0.1055;0.0000;0.5000
2025-11-03T00:54:00.0/2025-11-03T00:55:00.0;2.2959;0.8458;0.2333;0.6126;2.3438;0.1120;0.0000;0.1120;0.0000;0.5000
2025-11-03T00:55:00.0/2025-11-03T00:56:00.0;2.3914;0.8956;0.2559;0.6396;2.4689;0.1186;0.0000;0.1186;0.0000;0.5000
2025-11-03T00:56:00.0/2025-11-03T00:57:00.0;2.4867;0.9461;0.2796;0.6665;2.5940;0.1252;0.0000;0.1252;0.0000;0.5000
2025-11-03T00:57:00.0/2025-11-03T00:58:00.0;2.5821;0.9976;0.3043;0.6932;2.7191;0.1321;0.0000;0.1321;0.0000;0.5000
2025-11-03T00:58:00.0/2025-11-03T00:59:00.0;2.6773;1.0498;0.3300;0.7198;2.8438;0.1390;0.0000;0.1390;0.0000;1.0000
2025-11-03T00:59:00.0/2025-11-03T01:00:00.0;2.7725;1.1029;0.3567;0.7462;2.9682;0.1460;0.0000;0.1460;0.0000;1.0000
2025-11-03T01:00:00.0/2025-11-03T01:01:00.0;2.8676;1.1567;0.3844;0.7723;3.0922;0.1531;0.0000;0.1531;0.0000;1.0000
2025-11-03T01:01:00.0/2025-11-03T01:02:00.0;2.9627;1.2113;0.4130;0.7983;3.2157;0.1604;0.0000;0.1604;0.0000;1.0000
2025-11-03T01:02:00.0/2025-11-03T01:03:00.0;3.0576;1.2666;0.4425;0.8241;3.3386;0.1677;0.0000;0.1677;0.0000;1.0000
2025-11-03T01:03:00.0/2025-11-03T01:04:00.0;3.1526;1.3226;0.4729;0.8497;3.4608;0.1761;0.0000;0.1761;0.0000;1.0000
2025-11-03T01:04:00.0/2025-11-03T01:05:00.0;3.2474;1.3793;0.5043;0.8750;3.5822;0.2211;0.0000;0.2211;0.0000;1.0000
2025-11-03T01:05:00.0/2025-11-03T01:06:00.0;3.3421;1.4366;0.5365;0.9001;3.7029;0.2692;0.0000;0.2692;0.0000;1.0000
2025-11-03T01:06:00.0/2025-11-03T01:07:00.0;3.4368;1.4945;0.5695;0.9250;3.8227;0.3206;0.0000;0.3206;0.0000;1.0000
2025-11-03T01:07:00.0/2025-11-03T01:08:00.0;3.5314;1.5531;0.6034;0.9497;3.9416;0.3753;0.0000;0.3753;0.0000;1.0000
2025-11-03T01:08:00.0/2025-11-03T01:09:00.0;3.6259;1.6122;0.6381;0.9742;4.0595;0.4333;0.0000;0.4333;0.0000;1.0000
2025-11-03T01:09:00.0/2025-11-03T01:10:00.0;3.7204;1.6719;0.6735;0.9984;4.1765;0.4946;0.0000;0.4946;0.0000;1.0000
2025-11-03T01:10:00.0/2025-11-03T01:11:00.0;3.8147;1.7322;0.7098;1.0224;4.2924;0.5594;0.0000;0.5594;0.0000;1.0000
2025-11-03T01:11:00.0/2025-11-03T01:12:00.0;3.9090;1.7929;0.7468;1.0461;4.4073;0.6277;0.0000;0.6277;0.0001;1.0000
2025-11-03T01:12:00.0/2025-11-03T01:13:00.0;4.0032;1.8542;0.7845;1.0697;4.5211;0.6994;0.0000;0.6994;0.0001;1.0000
2025-11-03T01:13:00.0/2025-11-03T01:14:00.0;4.0972;1.9159;0.8230;1.0930;4.6338;0.7765;0.0024;0.7740;0.0137;1.0000
2025-11-03T01:14:00.0/2025-11-03T01:15:00.0;4.1912;1.9782;0.8621;1.1160;4.7453;0.9197;0.0888;0.8309;0.4886;1.0000
2025-11-03T01:15:00.0/2025-11-03T01:16:00.0;4.2851;2.0408;0.9020;1.1389;4.8557;1.0705;0.1831;0.8875;0.9855;1.0000
2025-11-03T01:16:00.0/2025-11-03T01:17:00.0;4.3789;2.1039;0.9424;1.1615;4.9650;1.2291;0.2855;0.9436;1.5042;1.0000
2025-11-03T01:17:00.0/2025-11-03T01:18:00.0;4.4726;2.1674;0.9836;1.1839;5.0730;1.3955;0.3963;0.9992;2.0442;1.0000
2025-11-03T01:18:00.0/2025-11-03T01:19:00.0;4.5662;2.2313;1.0253;1.2060;5.1799;1.5698;0.5157;1.0541;2.6053;1.0000
2025-11-03T01:19:00.0/2025-11-03T01:20:00.0;4.6597;2.2956;1.0676;1.2280;5.2857;1.7519;0.6437;1.1082;3.1870;1.0000
2025-11-03T01:20:00.0/2025-11-03T01:21:00.0;4.7531;2.3603;1.1106;1.2497;5.3902;1.9420;0.7807;1.1614;3.7890;1.0000
2025-11-03T01:21:00.0/2025-11-03T01:22:00.0;4.8464;2.4252;1.1541;1.2712;5.4935;2.1402;0.9267;1.2135;4.4110;1.0000
2025-11-03T01:22:00.0/2025-11-03T01:23:00.0;4.9396;2.4906;1.1981;1.2925;5.5956;2.3464;1.0818;1.2646;5.0526;1.0000
2025-11-03T01:23:00.0/2025-11-03T01:24:00.0;5.0327;2.5562;1.2427;1.3135;5.6966;2.5552;1.2411;1.3141;5.6890;1.0000
2025-11-03T01:24:00.0/2025-11-03T01:25:00.0;5.1256;2.6222;1.2878;1.3344;5.7963;2.5853;1.2280;1.3572;5.5272;1.0000
2025-11-03T01:25:00.0/2025-11-03T01:26:00.0;5.2185;2.6885;1.3335;1.3550;5.8948;2.6138;1.2114;1.4024;5.3552;1.0000
2025-11-03T01:26:00.0/2025-11-03T01:27:00.0;5.3112;2.7550;1.3796;1.3754;5.9922;2.6407;1.1911;1.4497;5.1734;1.0000
2025-11-03T01:27:00.0/2025-11-03T01:28:00.0;5.4038;2.8218;1.4262;1.3956;6.0884;2.6662;1.1670;1.4992;4.9818;1.0000
2025-11-03T01:28:00.0/2025-11-03T01:29:00.0;5.4963;2.8889;1.4732;1.4157;6.1834;2.6900;1.1390;1.5510;4.7806;1.0000
2025-11-03T01:29:00.0/2025-11-03T01:30:00.0;5.5887;2.9562;1.5207;1.4355;6.2772;2.7122;1.1071;1.6050;4.5701;1.0000
2025-11-03T01:30:00.0/2025-11-03T01:31:00.0;5.6810;3.0237;1.5686;1.4551;6.3699;2.7328;1.0713;1.6615;4.3502;1.0000
2025-11-03T01:31:00.0/2025-11-03T01:32:00.0;5.7731;3.0915;1.6170;1.4745;6.4614;2.7517;1.0314;1.7203;4.1213;1.0000
2025-11-03T01:32:00.0/2025-11-03T01:33:00.0;5.8652;3.1594;1.6657;1.4937;6.5518;2.7689;0.9873;1.7816;3.8834;1.0000
2025-11-03T01:33:00.0/2025-11-03T01:34:00.0;5.9570;3.2276;1.7149;1.5127;6.6411;2.7854;0.9408;1.8445;3.6435;1.0000
2025-11-03T01:34:00.0/2025-11-03T01:35:00.0;6.0488;3.2960;1.7644;1.5316;6.7293;2.8292;0.9486;1.8807;3.6177;1.0000
2025-11-03T01:35:00.0/2025-11-03T01:36:00.0;6.1405;3.3645;1.8143;1.5502;6.8163;2.8727;0.9554;1.9172;3.5895;1.0000
2025-11-03T01:36:00.0/2025-11-03T01:37:00.0;6.2319;3.4332;1.8646;1.5687;6.9023;2.9156;0.9614;1.9542;3.5588;1.0000
2025-11-03T01:37:00.0/2025-11-03T01:38:00.0;6.3233;3.5021;1.9152;1.5869;6.9871;2.9580;0.9664;1.9916;3.5257;1.0000
2025-11-03T01:38:00.0/2025-11-03T01:39:00.0;6.4145;3.5711;1.9661;1.6050;7.0709;2.9999;0.9704;2.0295;3.4901;1.0000
2025-11-03T01:39:00.0/2025-11-03T01:40:00.0;6.5056;3.6403;2.0174;1.6229;7.1537;3.0414;0.9735;2.0678;3.4522;1.0000
2025-11-03T01:40:00.0/2025-11-03T01:41:00.0;6.5966;3.7096;2.0689;1.6407;7.2354;3.0822;0.9757;2.1066;3.4120;1.0000
2025-11-03T01:41:00.0/2025-11-03T01:42:00.0;6.6874;3.7790;2.1208;1.6582;7.3161;3.1226;0.9768;2.1458;3.3696;1.0000
2025-11-03T01:42:00.0/2025-11-03T01:43:00.0;6.7781;3.8486;2.1730;1.6756;7.3958;3.1624;0.9769;2.1856;3.3248;1.0000
2025-11-03T01:43:00.0/2025-11-03T01:44:00.0;6.8686;3.9182;2.2254;1.6928;7.4744;3.2024;0.9771;2.2253;3.2819;1.0000
2025-11-03T01:44:00.0/2025-11-03T01:45:00.0;6.9590;3.9880;2.2781;1.7099;7.5521;3.2670;1.0160;2.2510;3.3682;1.0000
2025-11-03T01:45:00.0/2025-11-03T01:46:00.0;7.0493;4.0578;2.3311;1.7267;7.6288;3.3319;1.0558;2.2761;3.4552;1.0000
2025-11-03T01:46:00.0/2025-11-03T01:47:00.0;7.1394;4.1278;2.3843;1.7434;7.7046;3.3971;1.0964;2.3007;3.5427;1.0000
2025-11-03T01:47:00.0/2025-11-03T01:48:00.0;7.2293;4.1978;2.4378;1.7600;7.7794;3.4626;1.1378;2.3248;3.6309;1.0000
2025-11-03T01:48:00.0/2025-11-03T01:49:00.0;7.3191;4.2679;2.4915;1.7763;7.8532;3.5285;1.1801;2.3484;3.7197;1.0000
2025-11-03T01:49:00.0/2025-11-03T01:50:00.0;7.4087;4.3380;2.5455;1.7926;7.9262;3.5947;1.2232;2.3714;3.8090;1.0000
2025-11-03T01:50:00.0/2025-11-03T01:51:00.0;7.4982;4.4082;2.5996;1.8086;7.9982;3.6611;1.2672;2.3939;3.8989;1.0000
2025-11-03T01:51:00.0/2025-11-03T01:52:00.0;7.5875;4.4785;2.6540;1.8245;8.0694;3.7280;1.3121;2.4159;3.9894;1.0000
2025-11-03T01:52:00.0/2025-11-03T01:53:00.0;7.6767;4.5488;2.7086;1.8402;8.1397;3.7951;1.3578;2.4373;4.0804;1.0000
2025-11-03T01:53:00.0/2025-11-03T01:54:00.0;7.7657;4.6192;2.7633;1.8558;8.2091;3.8625;1.4043;2.4582;4.1718;1.0000
2025-11-03T01:54:00.0/2025-11-03T01:55:00.0;7.8545;4.6895;2.8183;1.8713;8.2776;3.9307;1.4497;2.4811;4.2578;1.0000
2025-11-03T01:55:00.0/2025-11-03T01:56:00.0;7.9432;4.7600;2.8734;1.8865;8.3454;3.9993;1.4958;2.5035;4.3443;1.0000
2025-11-03T01:56:00.0/2025-11-03T01:57:00.0;8.0317;4.8304;2.9287;1.9017;8.4123;4.0682;1.5427;2.5255;4.4312;1.0000
2025-11-03T01:57:00.0/2025-11-03T01:58:00.0;8.1201;4.9009;2.9842;1.9167;8.4783;4.1373;1.5904;2.5470;4.5184;1.0000
2025-11-03T01:58:00.0/2025-11-03T01:59:00.0;8.2083;4.9713;3.0398;1.9315;8.5436;4.2068;1.6389;2.5680;4.6061;1.0000
2025-11-03T01:59:00.0/2025-11-03T02:00:00.0;8.2962;5.0418;3.0956;1.9462;8.6081;4.2766;1.6881;2.5885;4.6941;1.0000
2025-11-03T02:00:00.0/2025-11-03T02:01:00.0;8.3841;5.1123;3.1515;1.9607;8.6719;4.3466;1.7381;2.6085;4.7825;1.0000
2025-11-03T02:01:00.0/2025-11-03T02:02:00.0;8.4717;5.1827;3.2076;1.9751;8.7348;4.4169;1.7888;2.6281;4.8713;1.0000
2025-11-03T02:02:00.0/2025-11-03T02:03:00.0;8.5592;5.2532;3.2638;1.9894;8.7970;4.4875;1.8404;2.6471;4.9604;1.0000
2025-11-03T02:03:00.0/2025-11-03T02:04:00.0;8.6465;5.3237;3.3201;2.0035;8.8585;4.5594;1.8946;2.6648;5.0550;1.0000
2025-11-03T02:04:00.0/2025-11-03T02:05:00.0;8.7336;5.3941;3.3766;2.0175;8.9192;4.6688;2.0142;2.6546;5.3206;1.0000
2025-11-03T02:05:00.0/2025-11-03T02:06:00.0;8.8206;5.4645;3.4332;2.0313;8.9793;4.7795;2.1368;2.6426;5.5888;1.0000
2025-11-03T02:06:00.0/2025-11-03T02:07:00.0;8.9073;5.5349;3.4898;2.0450;9.0386;4.8914;2.2625;2.6289;5.8597;1.0000
2025-11-03T02:07:00.0/2025-11-03T02:08:00.0;8.9939;5.6052;3.5466;2.0586;9.0972;5.0046;2.3911;2.6135;6.1333;1.0000
2025-11-03T02:08:00.0/2025-11-03T02:09:00.0;9.0803;5.6755;3.6035;2.0721;9.1551;5.1190;2.5227;2.5962;6.4093;1.0000
2025-11-03T02:09:00.0/2025-11-03T02:10:00.0;9.1665;5.7458;3.6604;2.0854;9.2124;5.2346;2.6574;2.5773;6.6879;1.0000
