date,ghi_avg,dni_avg,dhi_avg,gti_avg
2025-11-01,451.38461538461536,469.3333333333333,161.69230769230768,491.3076923076923
2025-11-02,497.6923076923077,610.3333333333334,107.23076923076923,552.6153846153846
2025-11-03,483.61538461538464,554.6666666666666,127.15384615384616,535.0
2025-11-04,419.61538461538464,380.3,201.92307692307693,447.2307692307692
2025-11-05,316.0,307.0,232.69230769230768,325.6923076923077
2025-11-06,346.5833333333333,272.75,212.25,363.1666666666667
2025-11-07,283.5,120.2,253.0,282.0
2025-11-08,342.8333333333333,124.33333333333333,271.25,346.8333333333333
2025-11-09,285.2307692307692,129.28571428571428,232.30769230769232,311.6666666666667
2025-11-10,309.5,148.16666666666666,255.16666666666666,312.5
2025-11-11,292.4166666666667,174.16666666666666,221.0,298.1666666666667
2025-11-12,251.58333333333334,37.142857142857146,240.25,246.75
2025-11-13,111.16666666666667,7.0,111.08333333333333,107.5
2025-11-14,412.2307692307692,349.1818181818182,193.53846153846155,485.8333333333333
2025-11-15,280.0,101.25,230.23076923076923,282.0
2025-11-16,214.66666666666666,26.6,208.91666666666666,209.16666666666666
2025-11-17,209.08333333333334,49.285714285714285,193.41666666666666,207.33333333333334
2025-11-18,304.5,264.0,176.25,333.8333333333333
2025-11-19,468.0769230769231,602.25,104.15384615384616,542.2307692307693
2025-11-20,182.58333333333334,184.5,146.58333333333334,187.0
2025-11-21,382.8333333333333,347.8181818181818,182.16666666666666,425.1666666666667
2025-11-22,218.83333333333334,258.8,152.83333333333334,231.66666666666666
2025-11-23,352.75,249.55555555555554,224.33333333333334,375.4166666666667
2025-11-24,197.75,1.0,197.66666666666666,191.0
2025-11-25,84.66666666666667,,84.66666666666667,81.75
2025-11-26,68.83333333333333,,68.83333333333333,66.5
2025-11-27,106.08333333333333,,106.08333333333333,102.08333333333333
2025-11-28,191.41666666666666,200.0,162.75,191.58333333333334
2025-11-29,103.46153846153847,,103.46153846153847,99.6923076923077
2025-11-30,408.9230769230769,422.27272727272725,164.15384615384616,462.53846153846155

