date,ghi_avg,dni_avg,dhi_avg,gti_avg
2025-10-01,470.46153846153845,380.6666666666667,201.15384615384616,468.9230769230769
2025-10-02,438.6923076923077,293.46153846153845,222.23076923076923,437.15384615384613
2025-10-03,392.7692307692308,410.7,145.92307692307693,393.7692307692308
2025-10-04,266.0,389.57142857142856,127.92307692307692,266.7692307692308
2025-10-05,493.46153846153845,552.0,131.69230769230768,500.3076923076923
2025-10-06,398.0769230769231,537.5555555555555,114.15384615384616,404.15384615384613
2025-10-07,438.53846153846155,453.44444444444446,175.15384615384616,443.0
2025-10-08,397.15384615384613,234.8,239.53846153846155,396.0769230769231
2025-10-09,478.0769230769231,503.90909090909093,158.6153846153846,488.9230769230769
2025-10-10,403.7692307692308,220.75,255.23076923076923,405.61538461538464
2025-10-11,485.0769230769231,540.8333333333334,114.3076923076923,501.9230769230769
2025-10-12,458.0,441.5,162.53846153846155,471.6923076923077
2025-10-13,479.0,647.2,96.23076923076923,498.38461538461536
2025-10-14,441.15384615384613,428.3636363636364,171.6153846153846,454.2307692307692
2025-10-15,361.53846153846155,356.55555555555554,180.76923076923077,370.53846153846155
2025-10-16,427.46153846153845,365.72727272727275,192.07692307692307,440.0
2025-10-17,387.0769230769231,353.3636363636364,209.6153846153846,399.46153846153845
2025-10-18,401.15384615384613,340.0833333333333,177.69230769230768,415.7692307692308
2025-10-19,323.0769230769231,266.6,185.46153846153845,331.53846153846155
2025-10-20,190.0,32.0,186.3846153846154,184.3846153846154
2025-10-21,208.84615384615384,7.666666666666667,207.30769230769232,201.92307692307693
2025-10-22,423.9230769230769,421.5,155.23076923076923,448.7692307692308
2025-10-23,180.15384615384616,,180.15384615384616,174.0
2025-10-24,156.76923076923077,7.0,156.46153846153845,151.46153846153845
2025-10-25,328.9230769230769,121.54545454545455,270.6923076923077,330.0769230769231
2025-10-26,176.23076923076923,,176.23076923076923,170.23076923076923
2025-10-27,211.23076923076923,,211.23076923076923,220.91666666666666
2025-10-28,362.6923076923077,196.41666666666666,240.92307692307693,405.1666666666667
2025-10-29,487.53846153846155,575.8333333333334,114.3076923076923,533.4615384615385
2025-10-30,485.84615384615387,583.5833333333334,118.0,533.0769230769231
2025-10-31,500.9230769230769,621.6666666666666,101.53846153846153,553.6153846153846
2025-11-01,,,,
