Timestamp;Entity Name;Solar radiation;Solar radiation (Filtered)
2025-10-01 06:27:00;WSTN1;58.80394744873047;58.80394744873047
2025-10-01 06:28:00;WSTN1;60.59309005737305;59.14268679199857
2025-10-01 06:30:00;WSTN1;66.13634490966797;60.447347632097475
2025-10-01 06:31:00;WSTN1;69.68711853027344;62.153974794534854
2025-10-01 06:32:00;WSTN1;73.28189086914062;64.19568585042398
2025-10-01 06:38:00;WSTN1;90.55965423583984;69.0112481499354
2025-10-01 06:39:00;WSTN1;95.2959442138672;73.79793051125554
2025-10-01 06:40:00;WSTN1;98.72614288330078;78.32844487206283
2025-10-01 06:41:00;WSTN1;101.63884735107422;82.55921031151132
2025-10-01 06:43:00;WSTN1;110.4574737548828;87.61806762574776
2025-10-01 06:44:00;WSTN1;112.58531951904295;92.14268393766869
2025-10-01 06:45:00;WSTN1;115.76799774169922;96.42236440274037
2025-10-01 06:47:00;WSTN1;122.78174591064452;101.19600890674862
2025-10-01 06:48:00;WSTN1;129.40960693359375;106.30451100458738
2025-10-01 06:50:00;WSTN1;134.97213745117188;111.49458249244859
2025-10-01 06:51:00;WSTN1;138.64779663085938;116.41007413877443
2025-10-01 06:52:00;WSTN1;144.3690948486328;121.47115880665123
2025-10-01 06:53:00;WSTN1;146.22471618652344;125.95183048487314
2025-10-01 06:55:00;WSTN1;155.25115966796875;131.2552056198923
2025-10-01 06:56:00;WSTN1;162.24505615234375;136.86448263201495
2025-10-01 06:57:00;WSTN1;166.59603881835938;142.2459433557523
2025-10-01 06:59:00;WSTN1;169.7161865234375;147.21806527192263
2025-10-01 07:00:00;WSTN1;176.41876220703125;152.50337313661927
2025-10-01 07:02:00;WSTN1;183.9331512451172;158.1921240352945
2025-10-01 07:03:00;WSTN1;185.3985748291016;163.11644673772685
2025-10-01 07:04:00;WSTN1;194.9756622314453;168.88290338840778
2025-10-01 07:06:00;WSTN1;194.32876586914065;173.48855078781472
2025-10-01 07:07:00;WSTN1;209.8836669921875;180.07598548469738
2025-10-01 07:08:00;WSTN1;200.1129913330078;183.70263709688436
2025-10-01 07:10:00;WSTN1;220.6490631103516;190.38985250004055
2025-10-01 07:11:00;WSTN1;218.91835021972656;195.55344179672989
2025-10-01 07:12:00;WSTN1;259.8051452636719;207.18284358083605
2025-10-01 07:14:00;WSTN1;242.68167114257807;213.60804428182468
2025-10-01 07:15:00;WSTN1;244.55975341796875;219.21022735326514
2025-10-01 07:16:00;WSTN1;137.78543090820312;204.4725404898063
2025-10-01 07:18:00;WSTN1;254.0314178466797;213.44257452319266
2025-10-01 07:19:00;WSTN1;263.95428466796875;222.5850687585532
2025-10-01 07:20:00;WSTN1;271.5814208984375;231.4532868419904
2025-10-01 07:22:00;WSTN1;278.682373046875;240.00163410669992
2025-10-01 07:23:00;WSTN1;211.4095764160156;234.82654272969427
2025-10-01 07:25:00;WSTN1;271.15789794921875;241.40242769846347
2025-10-01 07:27:00;WSTN1;323.8558044433594;256.32628385790713
2025-10-01 07:28:00;WSTN1;249.7748107910156;255.1404835259514
2025-10-01 07:30:00;WSTN1;222.28302001953125;249.19336435283185
2025-10-01 07:31:00;WSTN1;309.93914794921875;260.1882000912241
2025-10-01 07:33:00;WSTN1;337.9838256835937;274.2690148156463
2025-10-01 07:35:00;WSTN1;321.489990234375;282.8158939066455
2025-10-01 07:36:00;WSTN1;362.2080993652344;297.18568560720155
2025-10-01 07:37:00;WSTN1;238.2286376953125;286.5146065919822
2025-10-01 07:39:00;WSTN1;240.69444274902344;278.2212709158476
2025-10-01 07:40:00;WSTN1;383.1228942871094;297.2082037978397
2025-10-01 07:41:00;WSTN1;211.06187438964844;281.6159324691364
2025-10-01 07:43:00;WSTN1;194.252197265625;265.8033137203507
2025-10-01 07:44:00;WSTN1;374.5265502929688;285.4819490833595
2025-10-01 07:45:00;WSTN1;323.83856201171875;292.4244006085434
2025-10-01 07:47:00;WSTN1;404.8930358886719;312.78094382018685
2025-10-01 07:48:00;WSTN1;417.1588745117188;331.6730896274002
2025-10-01 07:49:00;WSTN1;427.460693359375;349.0104076239437
2025-10-01 07:51:00;WSTN1;344.3639221191406;348.1694053060626
2025-10-01 07:52:00;WSTN1;453.92572021484375;367.31103522758923
2025-10-01 07:53:00;WSTN1;445.3355407714844;381.4332766390607
2025-10-01 07:54:00;WSTN1;529.1976928710938;408.1782684016568
2025-10-01 07:55:00;WSTN1;321.8717041015625;392.5569949575957
2025-10-01 07:56:00;WSTN1;532.1403198242188;417.8212295341248
2025-10-01 07:57:00;WSTN1;561.15234375;443.76380465994555
2025-10-01 07:58:00;WSTN1;194.6315155029297;398.67148005840704
2025-10-01 07:59:00;WSTN1;366.99212646484375;392.9375958628205
2025-10-01 08:01:00;WSTN1;534.8745727539062;418.6278356008694
2025-10-01 08:02:00;WSTN1;524.0897216796875;437.7161746365139
2025-10-01 08:03:00;WSTN1;572.1754760742188;462.0529737187963
2025-10-01 08:04:00;WSTN1;490.9947814941406;467.2913689311417
2025-10-01 08:06:00;WSTN1;587.6895141601562;489.08313371786704
2025-10-01 08:07:00;WSTN1;588.2880249023438;507.0389722423944
2025-10-01 08:08:00;WSTN1;400.64654541015625;487.7822076451749
2025-10-01 08:10:00;WSTN1;240.322982788086;442.9927035200616
2025-10-01 08:12:00;WSTN1;517.32763671875;456.4471415151109
2025-10-01 08:13:00;WSTN1;264.9962463378906;421.7950057369888
2025-10-01 08:15:00;WSTN1;486.0701599121094;433.428648753253
2025-10-01 08:16:00;WSTN1;552.5118408203125;454.98241028871183
