dhi,dni,ghi,gti,period_end,period
387,237,574,567,2025-10-01 14:25:00+05:30,PT5M
362,283,581,575,2025-10-01 14:30:00+05:30,PT5M
366,253,559,553,2025-10-01 14:35:00+05:30,PT5M
331,325,574,570,2025-10-01 14:40:00+05:30,PT5M
304,374,579,576,2025-10-01 14:45:00+05:30,PT5M
310,341,556,552,2025-10-01 14:50:00+05:30,PT5M
315,309,533,529,2025-10-01 14:55:00+05:30,PT5M
267,414,553,552,2025-10-01 15:00:00+05:30,PT5M
292,327,513,510,2025-10-01 15:05:00+05:30,PT5M
267,376,515,513,2025-10-01 15:10:00+05:30,PT5M
270,344,491,489,2025-10-01 15:15:00+05:30,PT5M
273,312,468,466,2025-10-01 15:20:00+05:30,PT5M
230,414,482,483,2025-10-01 15:25:00+05:30,PT5M
224,407,466,466,2025-10-01 15:30:00+05:30,PT5M
236,346,435,434,2025-10-01 15:35:00+05:30,PT5M
252,263,399,396,2025-10-01 15:40:00+05:30,PT5M
244,256,382,380,2025-10-01 15:45:00+05:30,PT5M
230,273,372,370,2025-10-01 15:50:00+05:30,PT5M
234,218,344,341,2025-10-01 15:55:00+05:30,PT5M
226,210,328,325,2025-10-01 16:00:00+05:30,PT5M
253,30,267,259,2025-10-01 16:05:00+05:30,PT5M
233,75,267,261,2025-10-01 16:10:00+05:30,PT5M
226,51,247,241,2025-10-01 16:15:00+05:30,PT5M
215,44,233,227,2025-10-01 16:20:00+05:30,PT5M
208,6,210,204,2025-10-01 16:25:00+05:30,PT5M
193,0,193,186,2025-10-01 16:30:00+05:30,PT5M
181,22,189,183,2025-10-01 16:35:00+05:30,PT5M
140,211,209,209,2025-10-01 16:40:00+05:30,PT5M
143,119,180,178,2025-10-01 16:45:00+05:30,PT5M
133,106,164,162,2025-10-01 16:50:00+05:30,PT5M
120,0,120,116,2025-10-01 16:55:00+05:30,PT5M
101,0,101,97,2025-10-01 17:00:00+05:30,PT5M
93,0,93,90,2025-10-01 17:05:00+05:30,PT5M
81,0,81,78,2025-10-01 17:10:00+05:30,PT5M
69,0,69,66,2025-10-01 17:15:00+05:30,PT5M
59,0,59,57,2025-10-01 17:20:00+05:30,PT5M
50,0,50,48,2025-10-01 17:25:00+05:30,PT5M
49,0,49,48,2025-10-01 17:30:00+05:30,PT5M
39,0,39,38,2025-10-01 17:35:00+05:30,PT5M
27,0,27,26,2025-10-01 17:40:00+05:30,PT5M
17,0,17,16,2025-10-01 17:45:00+05:30,PT5M
8,0,8,8,2025-10-01 17:50:00+05:30,PT5M
2,0,2,2,2025-10-01 17:55:00+05:30,PT5M
0,0,0,0,2025-10-01 18:00:00+05:30,PT5M
0,0,0,0,2025-10-01 18:05:00+05:30,PT5M
0,0,0,0,2025-10-01 18:10:00+05:30,PT5M
0,0,0,0,2025-10-01 18:15:00+05:30,PT5M
0,0,0,0,2025-10-01 18:20:00+05:30,PT5M
0,0,0,0,2025-10-01 18:25:00+05:30,PT5M
0,0,0,0,2025-10-01 18:30:00+05:30,PT5M
0,0,0,0,2025-10-01 18:35:00+05:30,PT5M
0,0,0,0,2025-10-01 18:40:00+05:30,PT5M
0,0,0,0,2025-10-01 18:45:00+05:30,PT5M
0,0,0,0,2025-10-01 18:50:00+05:30,PT5M
0,0,0,0,2025-10-01 18:55:00+05:30,PT5M
0,0,0,0,2025-10-01 19:00:00+05:30,PT5M
0,0,0,0,2025-10-01 19:05:00+05:30,PT5M
0,0,0,0,2025-10-01 19:10:00+05:30,PT5M
0,0,0,0,2025-10-01 19:15:00+05:30,PT5M
0,0,0,0,2025-10-01 19:20:00+05:30,PT5M
0,0,0,0,2025-10-01 19:25:00+05:30,PT5M
0,0,0,0,2025-10-01 19:30:00+05:30,PT5M
0,0,0,0,2025-10-01 19:35:00+05:30,PT5M
0,0,0,0,2025-10-01 19:40:00+05:30,PT5M
0,0,0,0,2025-10-01 19:45:00+05:30,PT5M
0,0,0,0,2025-10-01 19:50:00+05:30,PT5M
0,0,0,0,2025-10-01 19:55:00+05:30,PT5M
0,0,0,0,2025-10-01 20:00:00+05:30,PT5M
0,0,0,0,2025-10-01 20:05:00+05:30,PT5M
0,0,0,0,2025-10-01 20:10:00+05:30,PT5M
0,0,0,0,2025-10-01 20:15:00+05:30,PT5M
0,0,0,0,2025-10-01 20:20:00+05:30,PT5M
0,0,0,0,2025-10-01 20:25:00+05:30,PT5M
0,0,0,0,2025-10-01 20:30:00+05:30,PT5M
0,0,0,0,2025-10-01 20:35:00+05:30,PT5M
0,0,0,0,2025-10-01 20:40:00+05:30,PT5M
0,0,0,0,2025-10-01 20:45:00+05:30,PT5M
0,0,0,0,2025-10-01 20:50:00+05:30,PT5M
0,0,0,0,2025-10-01 20:55:00+05:30,PT5M
0,0,0,0,2025-10-01 21:00:00+05:30,PT5M
0,0,0,0,2025-10-01 21:05:00+05:30,PT5M
0,0,0,0,2025-10-01 21:10:00+05:30,PT5M
0,0,0,0,2025-10-01 21:15:00+05:30,PT5M
0,0,0,0,2025-10-01 21:20:00+05:30,PT5M
0,0,0,0,2025-10-01 21:25:00+05:30,PT5M
0,0,0,0,2025-10-01 21:30:00+05:30,PT5M
0,0,0,0,2025-10-01 21:35:00+05:30,PT5M
0,0,0,0,2025-10-01 21:40:00+05:30,PT5M
0,0,0,0,2025-10-01 21:45:00+05:30,PT5M
0,0,0,0,2025-10-01 21:50:00+05:30,PT5M
0,0,0,0,2025-10-01 21:55:00+05:30,PT5M
0,0,0,0,2025-10-01 22:00:00+05:30,PT5M
0,0,0,0,2025-10-01 22:05:00+05:30,PT5M
0,0,0,0,2025-10-01 22:10:00+05:30,PT5M
0,0,0,0,2025-10-01 22:15:00+05:30,PT5M
0,0,0,0,2025-10-01 22:20:00+05:30,PT5M
0,0,0,0,2025-10-01 22:25:00+05:30,PT5M
0,0,0,0,2025-10-01 22:30:00+05:30,PT5M
0,0,0,0,2025-10-01 22:35:00+05:30,PT5M
0,0,0,0,2025-10-01 22:40:00+05:30,PT5M
0,0,0,0,2025-10-01 22:45:00+05:30,PT5M
0,0,0,0,2025-10-01 22:50:00+05:30,PT5M
0,0,0,0,2025-10-01 22:55:00+05:30,PT5M
0,0,0,0,2025-10-01 23:00:00+05:30,PT5M
0,0,0,0,2025-10-01 23:05:00+05:30,PT5M
0,0,0,0,2025-10-01 23:10:00+05:30,PT5M
0,0,0,0,2025-10-01 23:15:00+05:30,PT5M
0,0,0,0,2025-10-01 23:20:00+05:30,PT5M
0,0,0,0,2025-10-01 23:25:00+05:30,PT5M
0,0,0,0,2025-10-01 23:30:00+05:30,PT5M
0,0,0,0,2025-10-01 23:35:00+05:30,PT5M
0,0,0,0,2025-10-01 23:40:00+05:30,PT5M
0,0,0,0,2025-10-01 23:45:00+05:30,PT5M
0,0,0,0,2025-10-01 23:50:00+05:30,PT5M
0,0,0,0,2025-10-01 23:55:00+05:30,PT5M
0,0,0,0,2025-10-02 00:00:00+05:30,PT5M
0,0,0,0,2025-10-02 00:05:00+05:30,PT5M
0,0,0,0,2025-10-02 00:10:00+05:30,PT5M
0,0,0,0,2025-10-02 00:15:00+05:30,PT5M
0,0,0,0,2025-10-02 00:20:00+05:30,PT5M
0,0,0,0,2025-10-02 00:25:00+05:30,PT5M
0,0,0,0,2025-10-02 00:30:00+05:30,PT5M
0,0,0,0,2025-10-02 00:35:00+05:30,PT5M
0,0,0,0,2025-10-02 00:40:00+05:30,PT5M
0,0,0,0,2025-10-02 00:45:00+05:30,PT5M
0,0,0,0,2025-10-02 00:50:00+05:30,PT5M
0,0,0,0,2025-10-02 00:55:00+05:30,PT5M
0,0,0,0,2025-10-02 01:00:00+05:30,PT5M
0,0,0,0,2025-10-02 01:05:00+05:30,PT5M
0,0,0,0,2025-10-02 01:10:00+05:30,PT5M
0,0,0,0,2025-10-02 01:15:00+05:30,PT5M
0,0,0,0,2025-10-02 01:20:00+05:30,PT5M
0,0,0,0,2025-10-02 01:25:00+05:30,PT5M
0,0,0,0,2025-10-02 01:30:00+05:30,PT5M
0,0,0,0,2025-10-02 01:35:00+05:30,PT5M
0,0,0,0,2025-10-02 01:40:00+05:30,PT5M
0,0,0,0,2025-10-02 01:45:00+05:30,PT5M
0,0,0,0,2025-10-02 01:50:00+05:30,PT5M
0,0,0,0,2025-10-02 01:55:00+05:30,PT5M
0,0,0,0,2025-10-02 02:00:00+05:30,PT5M
0,0,0,0,2025-10-02 02:05:00+05:30,PT5M
0,0,0,0,2025-10-02 02:10:00+05:30,PT5M
0,0,0,0,2025-10-02 02:15:00+05:30,PT5M
0,0,0,0,2025-10-02 02:20:00+05:30,PT5M
0,0,0,0,2025-10-02 02:25:00+05:30,PT5M
0,0,0,0,2025-10-02 02:30:00+05:30,PT5M
0,0,0,0,2025-10-02 02:35:00+05:30,PT5M
0,0,0,0,2025-10-02 02:40:00+05:30,PT5M
0,0,0,0,2025-10-02 02:45:00+05:30,PT5M
0,0,0,0,2025-10-02 02:50:00+05:30,PT5M
0,0,0,0,2025-10-02 02:55:00+05:30,PT5M
0,0,0,0,2025-10-02 03:00:00+05:30,PT5M
0,0,0,0,2025-10-02 03:05:00+05:30,PT5M
0,0,0,0,2025-10-02 03:10:00+05:30,PT5M
0,0,0,0,2025-10-02 03:15:00+05:30,PT5M
0,0,0,0,2025-10-02 03:20:00+05:30,PT5M
0,0,0,0,2025-10-02 03:25:00+05:30,PT5M
0,0,0,0,2025-10-02 03:30:00+05:30,PT5M
0,0,0,0,2025-10-02 03:35:00+05:30,PT5M
0,0,0,0,2025-10-02 03:40:00+05:30,PT5M
0,0,0,0,2025-10-02 03:45:00+05:30,PT5M
0,0,0,0,2025-10-02 03:50:00+05:30,PT5M
0,0,0,0,2025-10-02 03:55:00+05:30,PT5M
0,0,0,0,2025-10-02 04:00:00+05:30,PT5M
0,0,0,0,2025-10-02 04:05:00+05:30,PT5M
0,0,0,0,2025-10-02 04:10:00+05:30,PT5M
0,0,0,0,2025-10-02 04:15:00+05:30,PT5M
0,0,0,0,2025-10-02 04:20:00+05:30,PT5M
0,0,0,0,2025-10-02 04:25:00+05:30,PT5M
0,0,0,0,2025-10-02 04:30:00+05:30,PT5M
0,0,0,0,2025-10-02 04:35:00+05:30,PT5M
0,0,0,0,2025-10-02 04:40:00+05:30,PT5M
0,0,0,0,2025-10-02 04:45:00+05:30,PT5M
0,0,0,0,2025-10-02 04:50:00+05:30,PT5M
0,0,0,0,2025-10-02 04:55:00+05:30,PT5M
0,0,0,0,2025-10-02 05:00:00+05:30,PT5M
0,0,0,0,2025-10-02 05:05:00+05:30,PT5M
0,0,0,0,2025-10-02 05:10:00+05:30,PT5M
