dhi,dni,ghi,gti,period_end,period
221,56,244,244,2025-11-05 16:30:00+05:30,PT1H
85,47,96,100,2025-11-05 17:30:00+05:30,PT1H
1,0,1,1,2025-11-05 18:30:00+05:30,PT1H
0,0,0,0,2025-11-05 19:30:00+05:30,PT1H
0,0,0,0,2025-11-05 20:30:00+05:30,PT1H
0,0,0,0,2025-11-05 21:30:00+05:30,PT1H
0,0,0,0,2025-11-05 22:30:00+05:30,PT1H
0,0,0,0,2025-11-05 23:30:00+05:30,PT1H
0,0,0,0,2025-11-06 00:30:00+05:30,PT1H
0,0,0,0,2025-11-06 01:30:00+05:30,PT1H
0,0,0,0,2025-11-06 02:30:00+05:30,PT1H
0,0,0,0,2025-11-06 03:30:00+05:30,PT1H
0,0,0,0,2025-11-06 04:30:00+05:30,PT1H
0,0,0,0,2025-11-06 05:30:00+05:30,PT1H
12,92,22,33,2025-11-06 06:30:00+05:30,PT1H
60,565,211,275,2025-11-06 07:30:00+05:30,PT1H
112,681,434,503,2025-11-06 08:30:00+05:30,PT1H
288,349,532,563,2025-11-06 09:30:00+05:30,PT1H
407,244,599,613,2025-11-06 10:30:00+05:30,PT1H
512,3,515,497,2025-11-06 11:30:00+05:30,PT1H
535,79,608,600,2025-11-06 12:30:00+05:30,PT1H
493,4,497,480,2025-11-06 13:30:00+05:30,PT1H
343,0,343,331,2025-11-06 14:30:00+05:30,PT1H
131,0,131,126,2025-11-06 15:30:00+05:30,PT1H
77,0,77,74,2025-11-06 16:30:00+05:30,PT1H
42,0,42,40,2025-11-06 17:30:00+05:30,PT1H
1,0,1,1,2025-11-06 18:30:00+05:30,PT1H
0,0,0,0,2025-11-06 19:30:00+05:30,PT1H
0,0,0,0,2025-11-06 20:30:00+05:30,PT1H
0,0,0,0,2025-11-06 21:30:00+05:30,PT1H
0,0,0,0,2025-11-06 22:30:00+05:30,PT1H
0,0,0,0,2025-11-06 23:30:00+05:30,PT1H
0,0,0,0,2025-11-07 00:30:00+05:30,PT1H
0,0,0,0,2025-11-07 01:30:00+05:30,PT1H
0,0,0,0,2025-11-07 02:30:00+05:30,PT1H
0,0,0,0,2025-11-07 03:30:00+05:30,PT1H
0,0,0,0,2025-11-07 04:30:00+05:30,PT1H
0,0,0,0,2025-11-07 05:30:00+05:30,PT1H
13,7,14,14,2025-11-07 06:30:00+05:30,PT1H
80,401,189,236,2025-11-07 07:30:00+05:30,PT1H
216,308,356,388,2025-11-07 08:30:00+05:30,PT1H
329,260,507,529,2025-11-07 09:30:00+05:30,PT1H
368,362,661,693,2025-11-07 10:30:00+05:30,PT1H
502,28,527,513,2025-11-07 11:30:00+05:30,PT1H
534,0,534,516,2025-11-07 12:30:00+05:30,PT1H
519,4,522,504,2025-11-07 13:30:00+05:30,PT1H
185,0,185,179,2025-11-07 14:30:00+05:30,PT1H
57,0,57,55,2025-11-07 15:30:00+05:30,PT1H
21,0,21,21,2025-11-07 16:30:00+05:30,PT1H
12,0,12,11,2025-11-07 17:30:00+05:30,PT1H
1,0,1,1,2025-11-07 18:30:00+05:30,PT1H
0,0,0,0,2025-11-07 19:30:00+05:30,PT1H
0,0,0,0,2025-11-07 20:30:00+05:30,PT1H
0,0,0,0,2025-11-07 21:30:00+05:30,PT1H
0,0,0,0,2025-11-07 22:30:00+05:30,PT1H
0,0,0,0,2025-11-07 23:30:00+05:30,PT1H
0,0,0,0,2025-11-08 00:30:00+05:30,PT1H
0,0,0,0,2025-11-08 01:30:00+05:30,PT1H
0,0,0,0,2025-11-08 02:30:00+05:30,PT1H
0,0,0,0,2025-11-08 03:30:00+05:30,PT1H
0,0,0,0,2025-11-08 04:30:00+05:30,PT1H
0,0,0,0,2025-11-08 05:30:00+05:30,PT1H
10,0,10,10,2025-11-08 06:30:00+05:30,PT1H
126,13,131,128,2025-11-08 07:30:00+05:30,PT1H
259,107,310,317,2025-11-08 08:30:00+05:30,PT1H
379,44,407,400,2025-11-08 09:30:00+05:30,PT1H
461,0,461,445,2025-11-08 10:30:00+05:30,PT1H
402,0,402,388,2025-11-08 11:30:00+05:30,PT1H
464,0,464,448,2025-11-08 12:30:00+05:30,PT1H
251,0,251,242,2025-11-08 13:30:00+05:30,PT1H
65,0,65,62,2025-11-08 14:30:00+05:30,PT1H
36,0,36,35,2025-11-08 15:30:00+05:30,PT1H
57,0,57,55,2025-11-08 16:30:00+05:30,PT1H
36,0,36,34,2025-11-08 17:30:00+05:30,PT1H
0,0,0,0,2025-11-08 18:30:00+05:30,PT1H
